NOC;Edition;Sport;Bronze;Gold;Silver
ROU;1968;Shooting;;;1
ROU;1968;Athletics;;2;2
ROU;1956;Gymnastics;2;;
ROU;1956;Wrestling;1;;
ROU;1956;Shooting;1;1;
ROU;1956;Boxing;1;1;2
ROU;1956;Fencing;;;1
ROU;1956;Canoe / Kayak;;3;
ROU;2008;Rowing;1;1;
ROU;2008;Gymnastics;1;1;
ROU;2008;Fencing;1;;1
ROU;2008;Judo;;1;
ROU;2008;Athletics;;1;
ROU;1952;Shooting;1;1;
ROU;1952;Boxing;1;;1
ROU;1924;Rugby;1;;
ROU;2012;Fencing;;;1
ROU;1936;Equestrian;;;1
FIN;1952;Boxing;4;1;
FIN;1952;Wrestling;2;1;1
FIN;1952;Shooting;1;;1
FIN;1952;Sailing;1;;
FIN;1952;Rowing;1;;
FIN;1952;Modern Pentathlon;1;;
FIN;1952;Gymnastics;1;;
FIN;1952;Canoe / Kayak;1;4;1
FIN;1952;Athletics;1;;
FIN;1932;Gymnastics;4;;1
FIN;1932;Athletics;4;3;4
FIN;1932;Wrestling;3;2;3
FIN;1932;Boxing;1;;
FIN;1956;Athletics;3;;
FIN;1956;Wrestling;2;2;
FIN;1956;Modern Pentathlon;2;;1
FIN;1956;Shooting;1;1;
FIN;1956;Rowing;1;;
FIN;1956;Gymnastics;1;;
FIN;1956;Boxing;1;;
FIN;1924;Wrestling;5;4;7
FIN;1924;Shooting;2;;1
FIN;1924;Athletics;2;10;5
FIN;1924;Sailing;1;;
FIN;1928;Athletics;4;5;5
FIN;1928;Wrestling;3;3;3
FIN;1928;Sailing;1;;
FIN;1928;Gymnastics;1;;
FIN;1920;Athletics;3;9;4
FIN;1920;Wrestling;2;5;5
FIN;1920;Shooting;2;;1
FIN;1920;Aquatics;2;;
FIN;1920;Skating;;1;
FIN;1912;Athletics;3;6;4
FIN;1912;Wrestling;2;3;2
FIN;1912;Shooting;2;;
FIN;1912;Sailing;2;;1
FIN;1912;Gymnastics;;;1
FIN;1984;Weightlifting;2;;
FIN;1984;Wrestling;1;1;1
FIN;1984;Shooting;1;;
FIN;1984;Boxing;1;;
FIN;1984;Athletics;1;2;1
FIN;1984;Rowing;;1;
FIN;1936;Wrestling;3;2;1
FIN;1936;Athletics;2;3;5
FIN;1936;Gymnastics;1;1;
FIN;1936;Boxing;;1;
FIN;1948;Gymnastics;2;6;2
FIN;1948;Canoe / Kayak;2;;1
FIN;1948;Wrestling;1;1;1
FIN;1948;Shooting;;;1
FIN;1948;Athletics;;1;2
FIN;1980;Wrestling;1;;
FIN;1980;Sailing;1;1;
FIN;1980;Athletics;1;;1
FIN;1980;Archery;1;1;
FIN;1980;Rowing;;1;
FIN;1972;Wrestling;1;;
FIN;1972;Modern Pentathlon;1;;
FIN;1972;Athletics;1;3;
FIN;1972;Archery;1;;
FIN;1972;Boxing;;;1
FIN;1960;Rowing;1;;
FIN;1960;Boxing;1;;
FIN;1960;Athletics;1;;
FIN;1960;Shooting;;;1
FIN;1960;Gymnastics;;1;
FIN;1908;Wrestling;1;1;1
FIN;1908;Gymnastics;1;;
FIN;1908;Athletics;1;;
FIN;2012;Sailing;1;;1
FIN;2012;Athletics;1;;
FIN;2008;Shooting;1;1;
FIN;2008;Athletics;1;;
FIN;2008;Rowing;;;1
FIN;1992;Boxing;1;;
FIN;1992;Aquatics;1;;
FIN;1992;Canoe / Kayak;;1;
FIN;1992;Athletics;;;1
FIN;1992;Archery;;;1
FIN;1988;Wrestling;1;;1
FIN;1988;Athletics;1;1;
FIN;1964;Gymnastics;1;;
FIN;1964;Boxing;1;;
FIN;1964;Shooting;;2;
FIN;1964;Athletics;;1;
FIN;2000;Wrestling;1;;
FIN;2000;Shooting;;;1
FIN;2000;Sailing;;1;
FIN;2000;Athletics;;1;
FIN;1996;Athletics;1;1;
FIN;1996;Wrestling;;;1
FIN;1996;Aquatics;;;1
FIN;1968;Boxing;1;;
FIN;1968;Weightlifting;;1;
FIN;1968;Gymnastics;;;1
FIN;1968;Athletics;;;1
FIN;2004;Wrestling;;;1
FIN;2004;Shooting;;;1
FIN;1976;Wrestling;;1;
FIN;1976;Rowing;;1;
FIN;1976;Athletics;;2;2
CAN;1984;Rowing;3;1;2
CAN;1984;Athletics;3;;2
CAN;1984;Aquatics;3;5;5
CAN;1984;Sailing;2;;1
CAN;1984;Canoe / Kayak;2;2;2
CAN;1984;Wrestling;1;;1
CAN;1984;Judo;1;;
CAN;1984;Boxing;1;;2
CAN;1984;Weightlifting;;;1
CAN;1984;Shooting;;1;
CAN;1984;Gymnastics;;1;
CAN;1984;Cycling;;;2
CAN;2012;Aquatics;4;;1
CAN;2012;Canoe / Kayak;2;;1
CAN;2012;Weightlifting;1;;
CAN;2012;Football;1;;
CAN;2012;Cycling;1;;
CAN;2012;Athletics;1;;
CAN;2012;Wrestling;;;1
CAN;2012;Rowing;;;2
CAN;2012;Gymnastics;;1;
CAN;1908;Athletics;4;1;1
CAN;1908;Rowing;2;;
CAN;1908;Wrestling;1;;
CAN;1908;Shooting;1;1;2
CAN;1908;Cycling;1;;
CAN;1908;Lacrosse;;1;
CAN;2000;Aquatics;3;;1
CAN;2000;Gymnastics;2;;
CAN;2000;Taekwondo;1;;
CAN;2000;Rowing;1;;
CAN;2000;Canoe / Kayak;1;;1
CAN;2000;Wrestling;;1;
CAN;2000;Triathlon;;1;
CAN;2000;Tennis;;1;
CAN;2000;Judo;;;1
CAN;1996;Cycling;3;;2
CAN;1996;Aquatics;3;;2
CAN;1996;Volleyball;1;;
CAN;1996;Rowing;1;1;4
CAN;1996;Wrestling;;;1
CAN;1996;Canoe / Kayak;;;1
CAN;1996;Boxing;;;1
CAN;1996;Athletics;;2;
CAN;1932;Athletics;5;1;3
CAN;1932;Rowing;2;;
CAN;1932;Sailing;1;;1
CAN;1932;Wrestling;;;1
CAN;1932;Boxing;;1;
CAN;1992;Sailing;1;;
CAN;1992;Rowing;1;4;
CAN;1992;Judo;1;;
CAN;1992;Cycling;1;;
CAN;1992;Boxing;1;;1
CAN;1992;Athletics;1;1;1
CAN;1992;Aquatics;1;2;1
CAN;1992;Wrestling;;;1
CAN;1928;Wrestling;2;;1
CAN;1928;Athletics;2;4;2
CAN;1928;Rowing;1;;1
CAN;1928;Boxing;1;;
CAN;1928;Aquatics;1;;
CAN;2008;Rowing;2;1;1
CAN;2008;Wrestling;1;1;
CAN;2008;Canoe / Kayak;1;;1
CAN;2008;Athletics;1;;
CAN;2008;Aquatics;1;;2
CAN;2008;Triathlon;;;1
CAN;2008;Taekwondo;;;1
CAN;2008;Gymnastics;;;2
CAN;2008;Equestrian;;1;1
CAN;1976;Aquatics;6;;2
CAN;1976;Equestrian;;;1
CAN;1976;Canoe / Kayak;;;1
CAN;1976;Athletics;;;1
CAN;1988;Sailing;1;;
CAN;1988;Equestrian;1;;
CAN;1988;Boxing;1;1;1
CAN;1988;Athletics;1;;
CAN;1988;Aquatics;1;2;1
CAN;1936;Athletics;3;;1
CAN;1936;Wrestling;1;;
CAN;1936;Canoe / Kayak;1;1;1
CAN;1936;Basketball;;;1
CAN;2004;Canoe / Kayak;2;1;
CAN;2004;Aquatics;1;;1
CAN;2004;Wrestling;;;1
CAN;2004;Sailing;;;1
CAN;2004;Rowing;;;1
CAN;2004;Gymnastics;;1;1
CAN;2004;Cycling;;1;1
CAN;1972;Aquatics;2;;2
CAN;1972;Sailing;1;;
CAN;1956;Shooting;1;1;
CAN;1956;Equestrian;1;;
CAN;1956;Aquatics;1;;
CAN;1956;Rowing;;1;1
CAN;1920;Boxing;2;1;2
CAN;1920;Aquatics;1;;1
CAN;1920;Ice Hockey;;1;
CAN;1920;Athletics;;1;
CAN;1912;Athletics;2;1;2
CAN;1912;Rowing;1;;
CAN;1912;Aquatics;;2;
CAN;1948;Canoe / Kayak;1;;1
CAN;1948;Athletics;1;;
CAN;1968;Aquatics;1;;3
CAN;1968;Equestrian;;1;
CAN;1964;Athletics;1;;1
CAN;1964;Rowing;;1;
CAN;1964;Judo;;;1
CAN;1924;Boxing;1;;
CAN;1924;Shooting;;;1
CAN;1924;Rowing;;;2
CAN;1900;Athletics;1;1;
CAN;1960;Rowing;;;1
CAN;1952;Weightlifting;;;1
CAN;1952;Shooting;;1;
CAN;1952;Canoe / Kayak;;;1
CAN;1904;Rowing;;;1
CAN;1904;Lacrosse;;1;
CAN;1904;Golf;;1;
CAN;1904;Football;;1;
CAN;1904;Athletics;;1;
NED;1996;Judo;3;;
NED;1996;Aquatics;2;;
NED;1996;Sailing;1;;1
NED;1996;Rowing;1;1;1
NED;1996;Hockey;1;1;
NED;1996;Equestrian;1;;2
NED;1996;Cycling;1;1;1
NED;1996;Volleyball;;1;
NED;2004;Judo;3;;1
NED;2004;Rowing;2;;1
NED;2004;Cycling;2;1;1
NED;2004;Aquatics;2;2;3
NED;2004;Hockey;;;2
NED;2004;Equestrian;;1;
NED;2004;Badminton;;;1
NED;1948;Aquatics;3;1;
NED;1948;Sailing;2;;
NED;1948;Athletics;2;4;
NED;1948;Weightlifting;1;;
NED;1948;Hockey;1;;
NED;1948;Cycling;;;1
NED;1948;Canoe / Kayak;;;1
NED;1992;Judo;2;;
NED;1992;Cycling;2;;2
NED;1992;Sailing;1;;
NED;1992;Rowing;1;;
NED;1992;Boxing;1;;1
NED;1992;Volleyball;;;1
NED;1992;Equestrian;;1;2
NED;1992;Athletics;;1;
NED;1936;Canoe / Kayak;3;;
NED;1936;Athletics;2;;
NED;1936;Sailing;1;1;
NED;1936;Hockey;1;;
NED;1936;Equestrian;;;1
NED;1936;Cycling;;1;2
NED;1936;Aquatics;;4;1
NED;2012;Sailing;1;1;1
NED;2012;Rowing;1;;
NED;2012;Equestrian;1;;3
NED;2012;Cycling;1;1;
NED;2012;BMX;1;;
NED;2012;Aquatics;1;2;1
NED;2012;Gymnastics;;1;
NED;2012;Field hockey;;1;1
NED;1984;Aquatics;3;2;1
NED;1984;Rowing;1;;1
NED;1984;Canoe / Kayak;1;;
NED;1984;Boxing;1;;
NED;1984;Sailing;;1;
NED;1984;Hockey;;1;
NED;1984;Athletics;;1;
NED;1988;Hockey;2;;
NED;1988;Judo;1;;
NED;1988;Canoe / Kayak;1;;
NED;1988;Boxing;1;;
NED;1988;Rowing;;1;
NED;1988;Cycling;;1;1
NED;1988;Aquatics;;;1
NED;1924;Tennis;1;;
NED;1924;Sailing;1;;
NED;1924;Fencing;1;;
NED;1924;Cycling;1;1;1
NED;1924;Athletics;1;;
NED;1924;Rowing;;1;
NED;1924;Equestrian;;2;
NED;1920;Fencing;2;;
NED;1920;Cycling;2;1;
NED;1920;Football;1;;
NED;1920;Tug of War;;;1
NED;1920;Sailing;;2;1
NED;1920;Archery;;1;
NED;2008;Judo;4;;1
NED;2008;Sailing;;;2
NED;2008;Rowing;;1;1
NED;2008;Hockey;;1;
NED;2008;Equestrian;;1;1
NED;2008;Cycling;;1;
NED;2008;Aquatics;;3;
NED;2000;Aquatics;2;5;1
NED;2000;Hockey;1;1;
NED;2000;Archery;1;;
NED;2000;Tennis;;;1
NED;2000;Sailing;;;1
NED;2000;Rowing;;;3
NED;2000;Judo;;1;
NED;2000;Equestrian;;2;2
NED;2000;Cycling;;3;1
NED;1964;Rowing;2;;1
NED;1964;Cycling;1;1;
NED;1964;Aquatics;1;;2
NED;1964;Judo;;1;
NED;1964;Canoe / Kayak;;;1
NED;1928;Weightlifting;2;;
NED;1928;Equestrian;1;2;1
NED;1928;Boxing;1;1;
NED;1928;Sailing;;;1
NED;1928;Hockey;;;1
NED;1928;Gymnastics;;1;
NED;1928;Cycling;;1;4
NED;1928;Athletics;;;1
NED;1928;Aquatics;;1;2
NED;1976;Aquatics;3;;
NED;1976;Shooting;;;1
NED;1976;Cycling;;;1
NED;1912;Fencing;2;;
NED;1912;Football;1;;
NED;1900;Shooting;1;;
NED;1900;Rowing;1;;1
NED;1900;Aquatics;1;;
NED;1980;Judo;1;;
NED;1980;Aquatics;1;;
NED;1980;Athletics;;;1
NED;1960;Aquatics;2;;1
NED;1972;Rowing;1;;
NED;1972;Judo;;2;
NED;1972;Cycling;;1;
NED;1972;Canoe / Kayak;;;1
NED;1968;Athletics;1;;
NED;1968;Rowing;;1;2
NED;1968;Cycling;;1;1
NED;1968;Aquatics;;1;
NED;1908;Football;1;;
NED;1952;Hockey;;;1
NED;1952;Athletics;;;1
NED;1952;Aquatics;;;3
NED;1932;Sailing;;;1
NED;1932;Equestrian;;1;1
NED;1932;Cycling;;1;1
NED;1932;Aquatics;;;2
FRG;1984;Aquatics;7;2;3
FRG;1984;Athletics;5;4;2
FRG;1984;Judo;2;1;
FRG;1984;Equestrian;2;3;
FRG;1984;Cycling;2;1;2
FRG;1984;Weightlifting;1;2;
FRG;1984;Rowing;1;1;1
FRG;1984;Gymnastics;1;;
FRG;1984;Canoe / Kayak;1;1;1
FRG;1984;Boxing;1;;
FRG;1984;Wrestling;;1;2
FRG;1984;Shooting;;;1
FRG;1984;Sailing;;;1
FRG;1984;Hockey;;;2
FRG;1984;Handball;;;1
FRG;1984;Fencing;;2;3
FRG;1976;Athletics;4;1;4
FRG;1976;Rowing;3;;1
FRG;1976;Wrestling;2;;
FRG;1976;Equestrian;2;2;3
FRG;1976;Aquatics;2;;
FRG;1976;Shooting;1;1;1
FRG;1976;Sailing;1;2;
FRG;1976;Gymnastics;1;;
FRG;1976;Boxing;1;;
FRG;1976;Judo;;;1
FRG;1976;Fencing;;2;2
FRG;1976;Cycling;;2;
FRG;1972;Aquatics;3;;1
FRG;1972;Sailing;2;;
FRG;1972;Equestrian;2;2;1
FRG;1972;Canoe / Kayak;2;;3
FRG;1972;Athletics;2;6;3
FRG;1972;Wrestling;1;;1
FRG;1972;Rowing;1;1;
FRG;1972;Judo;1;;1
FRG;1972;Cycling;1;1;
FRG;1972;Boxing;1;1;
FRG;1972;Weightlifting;;;1
FRG;1972;Shooting;;1;
FRG;1972;Hockey;;1;
FRG;1988;Athletics;3;;1
FRG;1988;Weightlifting;2;;1
FRG;1988;Cycling;2;;2
FRG;1988;Tennis;1;1;
FRG;1988;Shooting;1;1;1
FRG;1988;Rowing;1;1;1
FRG;1988;Football;1;;
FRG;1988;Fencing;1;3;3
FRG;1988;Equestrian;1;4;
FRG;1988;Boxing;1;;
FRG;1988;Aquatics;1;1;1
FRG;1988;Wrestling;;;1
FRG;1988;Judo;;;2
FRG;1988;Hockey;;;1
FRG;1968;Athletics;3;1;4
FRG;1968;Equestrian;2;1;1
FRG;1968;Aquatics;2;;
FRG;1968;Wrestling;1;;
FRG;1968;Shooting;1;1;1
FRG;1968;Boxing;1;;
FRG;1968;Sailing;;;1
FRG;1968;Rowing;;1;1
FRG;1968;Cycling;;;1
FRG;1968;Canoe / Kayak;;1;2
KOR;1992;Table Tennis;5;;
KOR;1992;Judo;2;1;1
KOR;1992;Boxing;2;;
KOR;1992;Wrestling;1;2;1
KOR;1992;Gymnastics;1;;
KOR;1992;Badminton;1;2;1
KOR;1992;Weightlifting;;1;
KOR;1992;Shooting;;2;
KOR;1992;Handball;;1;
KOR;1992;Athletics;;1;
KOR;1992;Archery;;2;2
KOR;1988;Wrestling;5;2;2
KOR;1988;Weightlifting;1;;1
KOR;1988;Table Tennis;1;2;1
KOR;1988;Judo;1;2;
KOR;1988;Gymnastics;1;;
KOR;1988;Boxing;1;2;1
KOR;1988;Archery;1;3;2
KOR;1988;Shooting;;;1
KOR;1988;Hockey;;;1
KOR;1988;Handball;;1;1
KOR;2000;Judo;3;;2
KOR;2000;Wrestling;1;1;2
KOR;2000;Table Tennis;1;;
KOR;2000;Gymnastics;1;;1
KOR;2000;Fencing;1;1;
KOR;2000;Baseball;1;;
KOR;2000;Badminton;1;;1
KOR;2000;Archery;1;3;1
KOR;2000;Taekwondo;;3;1
KOR;2000;Shooting;;;1
KOR;2000;Hockey;;;1
KOR;2004;Taekwondo;2;2;
KOR;2004;Boxing;2;;
KOR;2004;Table Tennis;1;1;1
KOR;2004;Shooting;1;;2
KOR;2004;Judo;1;1;1
KOR;2004;Gymnastics;1;;1
KOR;2004;Badminton;1;1;2
KOR;2004;Wrestling;;1;1
KOR;2004;Weightlifting;;;2
KOR;2004;Handball;;;1
KOR;2004;Archery;;3;1
KOR;2008;Table Tennis;2;;
KOR;2008;Wrestling;1;;
KOR;2008;Judo;1;1;2
KOR;2008;Handball;1;;
KOR;2008;Boxing;1;;
KOR;2008;Badminton;1;1;1
KOR;2008;Archery;1;2;2
KOR;2008;Weightlifting;;2;1
KOR;2008;Taekwondo;;4;
KOR;2008;Shooting;;1;1
KOR;2008;Gymnastics;;;1
KOR;2008;Fencing;;;1
KOR;2008;Baseball;;1;
KOR;2008;Aquatics;;1;1
KOR;1984;Wrestling;4;2;1
KOR;1984;Judo;1;2;2
KOR;1984;Boxing;1;1;1
KOR;1984;Archery;1;1;
KOR;1984;Handball;;;1
KOR;1984;Basketball;;;1
KOR;2012;Fencing;3;2;1
KOR;2012;Football;1;;
KOR;2012;Badminton;1;;
KOR;2012;Archery;1;3;
KOR;2012;Wrestling;;1;
KOR;2012;Taekwondo;;1;1
KOR;2012;Table Tennis;;;1
KOR;2012;Shooting;;3;2
KOR;2012;Judo;;2;
KOR;2012;Gymnastics;;1;
KOR;2012;Boxing;;;1
KOR;2012;Aquatics;;;2
KOR;1996;Table Tennis;2;;
KOR;1996;Judo;2;2;4
KOR;1996;Archery;1;2;1
KOR;1996;Wrestling;;1;3
KOR;1996;Hockey;;;1
KOR;1996;Handball;;;1
KOR;1996;Gymnastics;;;1
KOR;1996;Boxing;;;1
KOR;1996;Badminton;;2;2
KOR;1996;Athletics;;;1
KOR;1976;Judo;2;;1
KOR;1976;Wrestling;1;1;
KOR;1976;Volleyball;1;;
KOR;1952;Weightlifting;1;;
KOR;1952;Boxing;1;;
KOR;1948;Weightlifting;1;;
KOR;1948;Boxing;1;;
KOR;1968;Boxing;1;;1
KOR;1964;Judo;1;;
KOR;1964;Wrestling;;;1
KOR;1964;Boxing;;;1
KOR;1956;Weightlifting;1;;
KOR;1956;Boxing;;;1
KOR;1972;Judo;;;1
BUL;1980;Wrestling;3;3;4
BUL;1980;Rowing;3;;1
BUL;1980;Weightlifting;2;2;4
BUL;1980;Shooting;2;;
BUL;1980;Canoe / Kayak;2;1;2
BUL;1980;Volleyball;1;;1
BUL;1980;Judo;1;;1
BUL;1980;Gymnastics;1;1;
BUL;1980;Boxing;1;1;
BUL;1980;Athletics;1;;1
BUL;1980;Equestrian;;;1
BUL;1980;Basketball;;;1
BUL;1988;Wrestling;3;1;4
BUL;1988;Canoe / Kayak;3;1;1
BUL;1988;Rowing;2;;1
BUL;1988;Weightlifting;1;2;1
BUL;1988;Tennis;1;;
BUL;1988;Gymnastics;1;1;1
BUL;1988;Athletics;1;2;1
BUL;1988;Aquatics;1;1;1
BUL;1988;Shooting;;1;1
BUL;1988;Boxing;;1;1
BUL;2004;Rowing;2;;
BUL;2004;Gymnastics;2;;1
BUL;2004;Wrestling;1;;
BUL;2004;Weightlifting;1;1;
BUL;2004;Shooting;1;1;
BUL;2004;Judo;1;;
BUL;2004;Boxing;1;;
BUL;1976;Wrestling;3;1;3
BUL;1976;Weightlifting;1;2;3
BUL;1976;Boxing;1;;
BUL;1976;Basketball;1;;
BUL;1976;Athletics;1;1;2
BUL;1976;Rowing;;2;1
BUL;1992;Wrestling;1;;1
BUL;1992;Weightlifting;1;1;2
BUL;1992;Shooting;1;;2
BUL;1992;Canoe / Kayak;1;2;
BUL;1992;Boxing;1;;1
BUL;1992;Athletics;1;;1
BUL;1996;Weightlifting;2;;1
BUL;1996;Shooting;2;;2
BUL;1996;Canoe / Kayak;1;;
BUL;1996;Wrestling;;1;
BUL;1996;Gymnastics;;;2
BUL;1996;Boxing;;1;2
BUL;1996;Athletics;;1;
BUL;1972;Wrestling;2;2;4
BUL;1972;Athletics;2;;2
BUL;1972;Canoe / Kayak;1;;
BUL;1972;Weightlifting;;3;3
BUL;1972;Boxing;;1;1
BUL;2008;Wrestling;3;;1
BUL;2008;Rowing;;1;
BUL;1968;Boxing;2;;
BUL;1968;Wrestling;1;2;3
BUL;1968;Football;;;1
BUL;1960;Wrestling;2;1;3
BUL;1960;Gymnastics;1;;
BUL;2000;Gymnastics;2;;
BUL;2000;Wrestling;;1;1
BUL;2000;Weightlifting;;1;2
BUL;2000;Shooting;;2;
BUL;2000;Rowing;;;1
BUL;2000;Canoe / Kayak;;;2
BUL;2000;Athletics;;1;
BUL;1964;Wrestling;1;3;4
BUL;1964;Boxing;1;;
BUL;1964;Shooting;;;1
BUL;1956;Football;1;;
BUL;1956;Wrestling;;1;3
BUL;1952;Boxing;1;;
BUL;2012;Wrestling;;;1
DEN;1948;Wrestling;1;;
DEN;1948;Sailing;1;1;
DEN;1948;Rowing;1;1;2
DEN;1948;Football;1;;
DEN;1948;Cycling;1;;
DEN;1948;Boxing;1;;
DEN;1948;Athletics;1;;
DEN;1948;Aquatics;1;2;2
DEN;1948;Fencing;;;1
DEN;1948;Canoe / Kayak;;1;2
DEN;2004;Sailing;2;;
DEN;2004;Athletics;2;;
DEN;2004;Table Tennis;1;;
DEN;2004;Badminton;1;;
DEN;2004;Rowing;;1;
DEN;2004;Handball;;1;
DEN;1912;Shooting;2;;1
DEN;1912;Wrestling;1;;
DEN;1912;Rowing;1;1;
DEN;1912;Gymnastics;1;;1
DEN;1912;Tennis;;;1
DEN;1912;Sailing;;;1
DEN;1912;Football;;;1
DEN;1912;Fencing;;;1
DEN;1992;Sailing;1;1;
DEN;1992;Cycling;1;;
DEN;1992;Boxing;1;;
DEN;1992;Badminton;1;;
DEN;1992;Canoe / Kayak;;;1
DEN;2012;Sailing;1;;1
DEN;2012;Rowing;1;1;1
DEN;2012;Badminton;1;;1
DEN;2012;Shooting;;;1
DEN;2012;Cycling;;1;
DEN;2008;Rowing;1;1;
DEN;2008;Equestrian;1;;
DEN;2008;Aquatics;1;;
DEN;2008;Sailing;;1;
DEN;2008;Cycling;;;1
DEN;2008;Canoe / Kayak;;;1
DEN;1984;Rowing;2;;
DEN;1984;Canoe / Kayak;1;;1
DEN;1984;Shooting;;;1
DEN;1984;Equestrian;;;3
DEN;1968;Rowing;2;;
DEN;1968;Canoe / Kayak;1;;
DEN;1968;Sailing;;;1
DEN;1968;Cycling;;1;3
DEN;1964;Sailing;1;1;
DEN;1964;Cycling;1;;1
DEN;1964;Canoe / Kayak;1;;
DEN;1964;Rowing;;1;
DEN;1952;Rowing;1;;
DEN;1952;Fencing;1;;
DEN;1952;Boxing;1;;
DEN;1952;Sailing;;1;
DEN;1952;Equestrian;;;1
DEN;1952;Canoe / Kayak;;1;
DEN;1936;Equestrian;1;;
DEN;1936;Boxing;1;;
DEN;1936;Aquatics;1;;1
DEN;1936;Rowing;;;1
DEN;1932;Cycling;1;;1
DEN;1932;Boxing;1;;
DEN;1932;Aquatics;1;;
DEN;1932;Wrestling;;;1
DEN;1932;Weightlifting;;;1
DEN;1928;Cycling;2;3;
DEN;1928;Boxing;1;;
DEN;1928;Sailing;;;1
DEN;1908;Wrestling;3;;
DEN;1908;Football;;;1
DEN;1908;Aquatics;;;1
DEN;1896;Shooting;2;;1
DEN;1896;Fencing;1;;
DEN;1896;Weightlifting;;1;1
DEN;1980;Cycling;1;;
DEN;1980;Aquatics;1;;
DEN;1980;Shooting;;1;
DEN;1980;Sailing;;1;1
DEN;1976;Cycling;2;;
DEN;1976;Sailing;;1;
DEN;1924;Shooting;1;;
DEN;1924;Fencing;1;1;
DEN;1924;Sailing;;;1
DEN;1924;Equestrian;;;1
DEN;1924;Cycling;;;1
DEN;1924;Boxing;;1;2
DEN;1900;Athletics;1;;
DEN;1900;Aquatics;1;;
DEN;1900;Shooting;;1;3
DEN;2000;Rowing;1;;
DEN;2000;Shooting;;;1
DEN;2000;Sailing;;1;
DEN;2000;Handball;;1;
DEN;2000;Badminton;;;1
DEN;2000;Athletics;;;1
DEN;1996;Rowing;1;1;
DEN;1996;Sailing;;1;
DEN;1996;Handball;;1;
DEN;1996;Cycling;;;1
DEN;1996;Badminton;;1;
DEN;1988;Sailing;1;1;
DEN;1988;Cycling;;1;
DEN;1988;Aquatics;;;1
DEN;1960;Canoe / Kayak;1;1;
DEN;1960;Sailing;;1;2
DEN;1960;Football;;;1
DEN;1956;Canoe / Kayak;1;;
DEN;1956;Sailing;;1;1
DEN;1956;Equestrian;;;2
DEN;1920;Wrestling;1;;1
DEN;1920;Shooting;;1;2
DEN;1920;Hockey;;;1
DEN;1920;Gymnastics;;1;1
DEN;1920;Boxing;;;3
DEN;1920;Athletics;;;1
DEN;1920;Aquatics;;1;
DEN;1972;Cycling;;1;
SUI;1924;Rowing;3;2;
SUI;1924;Gymnastics;3;2;2
SUI;1924;Wrestling;2;2;1
SUI;1924;Weightlifting;1;;1
SUI;1924;Shooting;1;;
SUI;1924;Football;;;1
SUI;1924;Equestrian;;1;1
SUI;1924;Athletics;;;2
SUI;1920;Shooting;5;;
SUI;1920;Weightlifting;1;;1
SUI;1920;Rowing;1;1;
SUI;1920;Wrestling;;1;1
SUI;1984;Equestrian;4;;1
SUI;1984;Wrestling;1;;
SUI;1984;Aquatics;1;;
SUI;1984;Shooting;;;1
SUI;1984;Cycling;;;1
SUI;1984;Athletics;;;1
SUI;1952;Gymnastics;3;2;2
SUI;1952;Fencing;2;;
SUI;1952;Rowing;1;;1
SUI;1952;Shooting;;;1
SUI;1952;Equestrian;;;1
SUI;1952;Athletics;;;1
SUI;2008;Cycling;3;1;
SUI;2008;Judo;1;;
SUI;2008;Equestrian;1;;
SUI;2008;Tennis;;1;
SUI;1948;Wrestling;2;;1
SUI;1948;Gymnastics;2;3;4
SUI;1948;Athletics;1;;1
SUI;1948;Shooting;;1;1
SUI;1948;Rowing;;;2
SUI;1948;Fencing;;;1
SUI;1948;Equestrian;;1;
SUI;1936;Gymnastics;2;1;6
SUI;1936;Rowing;1;;1
SUI;1936;Handball;1;;
SUI;1936;Cycling;1;;1
SUI;1936;Athletics;;;1
SUI;1928;Gymnastics;2;5;2
SUI;1928;Equestrian;2;;
SUI;1928;Wrestling;1;1;1
SUI;1928;Rowing;;1;1
SUI;1968;Shooting;1;;
SUI;1968;Rowing;1;;
SUI;1968;Equestrian;1;;
SUI;1968;Cycling;1;;
SUI;1968;Sailing;;;1
SUI;2004;Volleyball;1;;
SUI;2004;Triathlon;1;;
SUI;2004;Cycling;1;;1
SUI;2004;Fencing;;1;
SUI;1960;Sailing;1;;
SUI;1960;Rowing;1;;
SUI;1960;Equestrian;1;;2
SUI;1960;Shooting;;;1
SUI;2000;Triathlon;1;1;
SUI;2000;Cycling;1;;1
SUI;2000;Shooting;;;1
SUI;2000;Rowing;;;1
SUI;2000;Fencing;;;2
SUI;2000;Equestrian;;;1
SUI;1988;Equestrian;1;;1
SUI;1988;Athletics;1;;
SUI;1988;Rowing;;;1
SUI;1976;Judo;1;;
SUI;1976;Fencing;1;;
SUI;1976;Equestrian;;1;1
SUI;1964;Rowing;1;;
SUI;1964;Judo;;;1
SUI;1964;Equestrian;;1;1
SUI;1956;Equestrian;1;;
SUI;1904;Gymnastics;1;1;
SUI;1900;Shooting;1;5;1
SUI;2012;Triathlon;;1;
SUI;2012;Tennis;;;1
SUI;2012;Equestrian;;1;
SUI;2012;Cycling;;;1
SUI;1996;Rowing;;2;
SUI;1996;Gymnastics;;1;
SUI;1996;Equestrian;;;1
SUI;1996;Cycling;;1;1
SUI;1996;Canoe / Kayak;;;1
SUI;1992;Tennis;;1;
SUI;1980;Judo;;1;
SUI;1980;Cycling;;1;
SUI;1972;Rowing;;;1
SUI;1972;Fencing;;;1
SUI;1972;Cycling;;;1
SUI;1932;Gymnastics;;;1
